instrument,instrument_annual_return,instrument_annual_volatility,instrument_sharpe,portfolio_annual_return,portfolio_annual_volatility,portfolio_sharpe
002483.SZ,-0.06,0.42,0.06,1.08,0.42,1.96
002484.SZ,0.06,0.46,0.35,1.19,0.44,2.01
002485.SZ,-0.13,0.37,-0.21,0.83,0.37,1.84
002486.SZ,-0.13,0.47,-0.05,1.27,0.47,1.97
002487.SZ,0.07,0.52,0.39,1.21,0.44,2.02
002488.SZ,-0.05,0.51,0.15,1.28,0.47,1.99
002489.SZ,-0.11,0.42,-0.06,1.08,0.42,1.95
002490.SZ,-0.16,0.51,-0.1,1.35,0.49,1.98
002491.SZ,-0.13,0.44,-0.1,1.15,0.44,1.96
002492.SZ,-0.06,0.44,0.07,1.15,0.44,1.97
002493.SZ,0.14,0.4,0.54,1.09,0.4,2.05
002494.SZ,-0.15,0.51,-0.07,1.35,0.49,1.98
002495.SZ,-0.13,0.42,-0.12,1.05,0.42,1.93
002496.SZ,-0.11,0.48,0,1.29,0.48,1.98
002497.SZ,0.03,0.52,0.32,1.29,0.47,1.99
002498.SZ,-0.08,0.41,-0.01,1.04,0.41,1.94
002500.SZ,-0.08,0.37,-0.02,0.9,0.37,1.92
002501.SZ,-0.24,0.44,-0.4,1.1,0.44,1.92
002506.SZ,-0.2,0.46,-0.27,1.19,0.45,1.95
002507.SZ,0.1,0.39,0.44,1.02,0.39,2.02
002508.SZ,0.04,0.38,0.29,0.99,0.38,1.98
002510.SZ,-0.04,0.47,0.16,1.27,0.47,1.99
002511.SZ,0.08,0.4,0.39,1.08,0.4,2.02
002512.SZ,-0.1,0.5,0.03,1.35,0.49,1.98
002513.SZ,-0.14,0.48,-0.08,1.31,0.48,1.98
002516.SZ,-0.02,0.43,0.17,1.14,0.43,1.99
002517.SZ,-0.01,0.52,0.23,1.26,0.46,1.99
002518.SZ,0.03,0.53,0.32,1.22,0.45,2
002519.SZ,-0.09,0.44,0.02,1.16,0.44,1.97
002520.SZ,-0.14,0.46,-0.08,1.24,0.46,1.97
002521.SZ,0,0.35,0.17,0.82,0.35,1.91
002522.SZ,-0.16,0.44,-0.19,1.15,0.44,1.95
002523.SZ,-0.03,0.4,0.13,1.03,0.4,1.97
002524.SZ,-0.1,0.5,0.05,1.35,0.49,1.98
002526.SZ,-0.05,0.42,0.09,1.1,0.42,1.97
002529.SZ,-0.1,0.58,0.1,1.31,0.48,1.98
002531.SZ,0.02,0.46,0.28,1.24,0.45,2
002532.SZ,0.01,0.45,0.26,1.21,0.45,1.99
002533.SZ,0.05,0.4,0.32,1.06,0.4,2
002534.SZ,0.05,0.48,0.34,1.21,0.44,2.01
002535.SZ,-0.1,0.44,-0.01,1.18,0.44,1.97
002536.SZ,0.05,0.5,0.35,1.24,0.46,2
002538.SZ,-0.08,0.41,0,1.04,0.41,1.94
002539.SZ,-0.02,0.43,0.16,1.15,0.43,1.99
002540.SZ,-0.03,0.38,0.1,0.93,0.38,1.93
002541.SZ,0.06,0.46,0.36,1.21,0.44,2.01
002542.SZ,-0.16,0.43,-0.19,1.09,0.43,1.94
002543.SZ,0.03,0.39,0.26,1.01,0.39,1.98
002544.SZ,-0.04,0.43,0.11,1.13,0.43,1.98
002546.SZ,-0.07,0.42,0.05,1.1,0.42,1.97
002547.SZ,-0.13,0.55,0.01,1.35,0.49,1.98
002548.SZ,-0.12,0.46,-0.04,1.24,0.46,1.97
002550.SZ,-0.01,0.39,0.17,0.98,0.39,1.97
002551.SZ,-0.19,0.46,-0.22,1.23,0.46,1.96
002552.SZ,-0.05,0.52,0.16,1.28,0.47,1.99
002554.SZ,-0.09,0.45,0.01,1.2,0.45,1.97
002555.SZ,0.01,0.49,0.26,1.26,0.46,1.99
002556.SZ,-0.09,0.42,-0.01,1.09,0.42,1.96
002559.SZ,-0.02,0.46,0.18,1.24,0.46,1.99
002560.SZ,-0.04,0.51,0.18,1.29,0.47,1.98
002561.SZ,-0.04,0.41,0.1,1.06,0.41,1.96
002562.SZ,-0.03,0.47,0.17,1.27,0.47,1.98
002563.SZ,-0.03,0.36,0.1,0.86,0.36,1.92
002564.SZ,-0.11,0.48,-0.01,1.3,0.48,1.98
002565.SZ,-0.1,0.52,0.05,1.35,0.49,1.98
002566.SZ,-0.1,0.39,-0.08,0.95,0.39,1.91
002567.SZ,-0.03,0.44,0.15,1.16,0.44,1.97
002568.SZ,-0.02,0.49,0.2,1.25,0.46,1.99
002569.SZ,-0.14,0.42,-0.13,1.08,0.42,1.94
002570.SZ,-0.16,0.43,-0.18,1.09,0.43,1.94
002572.SZ,0.01,0.41,0.22,1.09,0.41,1.98
