instrument,instrument_annual_return,instrument_annual_volatility,instrument_sharpe,portfolio_annual_return,portfolio_annual_volatility,portfolio_sharpe
600562.SH,-0.02,0.41,0.16,1.07,0.41,1.97
600563.SH,0.17,0.45,0.58,1.15,0.41,2.06
600566.SH,0.04,0.38,0.3,1,0.38,1.99
600567.SH,-0.11,0.31,-0.24,0.59,0.31,1.67
600569.SH,-0.09,0.42,-0.02,1.07,0.42,1.94
600570.SH,0.03,0.48,0.29,1.23,0.45,2
600571.SH,-0.09,0.52,0.08,1.34,0.49,1.98
600572.SH,-0.07,0.34,-0.05,0.74,0.34,1.82
600573.SH,-0.02,0.43,0.17,1.14,0.43,1.98
600576.SH,-0.1,0.48,0.01,1.29,0.48,1.98
600577.SH,0.02,0.44,0.27,1.19,0.44,1.99
600578.SH,-0.05,0.29,-0.03,0.59,0.29,1.73
600579.SH,-0.1,0.49,0.04,1.33,0.49,1.98
600580.SH,-0.01,0.42,0.2,1.13,0.42,1.99
600581.SH,-0.07,0.47,0.09,1.29,0.47,1.98
600582.SH,-0.02,0.35,0.13,0.84,0.35,1.93
600583.SH,-0.07,0.34,-0.04,0.76,0.34,1.83
600585.SH,0.07,0.32,0.37,0.79,0.32,1.98
600586.SH,0,0.46,0.23,1.24,0.46,1.99
600587.SH,-0.04,0.43,0.11,1.14,0.43,1.98
600588.SH,-0.04,0.49,0.15,1.27,0.47,1.99
600592.SH,-0.05,0.45,0.12,1.21,0.45,1.98
600594.SH,-0.18,0.39,-0.31,0.9,0.39,1.85
600595.SH,-0.09,0.44,0,1.16,0.44,1.97
600596.SH,0.03,0.47,0.29,1.23,0.45,2
600597.SH,-0.09,0.33,-0.11,0.71,0.33,1.78
600599.SH,-0.12,0.51,0.01,1.35,0.49,1.98
600600.SH,0.09,0.36,0.41,0.95,0.36,2.01
600601.SH,-0.06,0.42,0.05,1.07,0.41,1.96
600602.SH,0.03,0.48,0.3,1.22,0.45,2
600603.SH,0.01,0.43,0.24,1.14,0.43,2
600604.SH,-0.06,0.51,0.12,1.29,0.48,1.98
600605.SH,0.12,0.44,0.47,1.17,0.43,2.03
600606.SH,-0.21,0.37,-0.45,0.8,0.37,1.78
600608.SH,-0.13,0.37,-0.18,0.87,0.37,1.86
600611.SH,0,0.36,0.18,0.88,0.36,1.94
600612.SH,0.04,0.32,0.29,0.73,0.32,1.88
600613.SH,-0.12,0.46,-0.04,1.23,0.46,1.97
600615.SH,-0.07,0.44,0.06,1.17,0.44,1.98
600616.SH,-0.08,0.43,0.03,1.12,0.43,1.96
600617.SH,-0.18,0.38,-0.31,0.88,0.38,1.84
600618.SH,-0.04,0.43,0.12,1.13,0.43,1.98
600619.SH,-0.01,0.44,0.19,1.17,0.44,1.99
600620.SH,-0.1,0.45,-0.02,1.18,0.45,1.97
600621.SH,0,0.5,0.24,1.22,0.45,2
600622.SH,-0.03,0.49,0.17,1.28,0.47,1.99
600623.SH,-0.1,0.41,-0.07,1.01,0.4,1.93
600624.SH,-0.1,0.46,-0.01,1.21,0.45,1.97
600626.SH,-0.16,0.42,-0.2,1.03,0.42,1.91
600628.SH,-0.12,0.36,-0.18,0.8,0.36,1.83
600629.SH,-0.12,0.42,-0.1,1.06,0.42,1.94
600630.SH,-0.09,0.5,0.06,1.32,0.48,1.98
600635.SH,-0.09,0.37,-0.07,0.88,0.37,1.88
600636.SH,-0.06,0.45,0.09,1.22,0.45,1.98
600637.SH,-0.13,0.31,-0.28,0.58,0.31,1.65
600638.SH,-0.09,0.4,-0.04,1.02,0.4,1.94
600639.SH,-0.07,0.38,0,0.93,0.38,1.91
600640.SH,-0.09,0.52,0.07,1.32,0.48,1.98
600642.SH,0.03,0.27,0.23,0.57,0.27,1.81
600644.SH,-0.03,0.39,0.12,0.99,0.39,1.94
600648.SH,-0.1,0.33,-0.15,0.69,0.33,1.77
600649.SH,-0.12,0.35,-0.2,0.76,0.35,1.8
600650.SH,-0.05,0.44,0.09,1.14,0.43,1.97
600651.SH,-0.17,0.45,-0.19,1.18,0.45,1.96
600653.SH,-0.19,0.41,-0.31,0.97,0.41,1.88
600655.SH,-0.1,0.34,-0.14,0.74,0.34,1.78
600657.SH,-0.03,0.42,0.13,1.11,0.42,1.98
600658.SH,-0.06,0.44,0.07,1.15,0.44,1.97
600660.SH,0.22,0.32,0.78,0.88,0.32,2.13
600661.SH,-0.09,0.5,0.06,1.35,0.49,1.98
600662.SH,-0.11,0.42,-0.07,1.08,0.42,1.95
600663.SH,-0.07,0.33,-0.06,0.72,0.33,1.8
600664.SH,-0.09,0.35,-0.08,0.8,0.35,1.85
600665.SH,-0.07,0.41,0.02,1.03,0.41,1.94
600666.SH,-0.19,0.47,-0.21,1.26,0.47,1.97
600667.SH,-0.01,0.45,0.2,1.21,0.45,1.99
600668.SH,-0.02,0.38,0.14,0.94,0.38,1.93
600671.SH,-0.13,0.4,-0.14,1.01,0.4,1.92
600673.SH,-0.01,0.39,0.18,1.01,0.39,1.98
600674.SH,0.07,0.24,0.42,0.49,0.24,1.8
600675.SH,-0.1,0.38,-0.08,0.92,0.38,1.9
600676.SH,-0.14,0.37,-0.22,0.84,0.37,1.83
600678.SH,-0.06,0.52,0.14,1.31,0.48,1.98
600679.SH,-0.06,0.49,0.12,1.29,0.47,1.98
600681.SH,-0.06,0.33,-0.03,0.72,0.33,1.8
600683.SH,-0.05,0.49,0.14,1.26,0.46,1.99
600684.SH,-0.13,0.46,-0.07,1.22,0.46,1.97
600685.SH,-0.09,0.46,0.03,1.24,0.46,1.98
600686.SH,-0.07,0.49,0.09,1.31,0.48,1.98
600688.SH,-0.09,0.31,-0.14,0.65,0.31,1.75
600690.SH,0.14,0.34,0.56,0.88,0.34,2.04
600691.SH,-0.08,0.41,0.01,1.05,0.41,1.95
600692.SH,-0.1,0.45,-0.02,1.17,0.44,1.97
600693.SH,-0.05,0.38,0.06,0.95,0.38,1.95
600694.SH,-0.05,0.3,-0.03,0.61,0.3,1.74
600696.SH,-0.04,0.49,0.17,1.34,0.49,1.98
600697.SH,-0.08,0.34,-0.09,0.75,0.34,1.82
600698.SH,-0.09,0.5,0.07,1.34,0.49,1.98
600699.SH,-0.03,0.45,0.16,1.21,0.45,1.99
600702.SH,0.11,0.52,0.47,1.21,0.44,2.02
600703.SH,-0.02,0.46,0.18,1.24,0.46,1.99
600704.SH,-0.05,0.36,0.02,0.83,0.36,1.87
600705.SH,-0.1,0.37,-0.11,0.85,0.37,1.86
600706.SH,-0.06,0.48,0.12,1.29,0.47,1.98
600708.SH,-0.12,0.4,-0.12,0.98,0.4,1.92
600711.SH,-0.07,0.49,0.08,1.33,0.49,1.98
600712.SH,-0.08,0.48,0.06,1.29,0.47,1.98
600713.SH,-0.08,0.31,-0.11,0.64,0.31,1.75
600715.SH,-0.19,0.5,-0.18,1.35,0.49,1.98
600716.SH,-0.11,0.41,-0.08,1.02,0.4,1.93
600717.SH,-0.03,0.28,0.02,0.54,0.27,1.71
600718.SH,-0.06,0.42,0.05,1.09,0.42,1.97
600720.SH,0.02,0.42,0.25,1.11,0.42,1.99
600722.SH,-0.03,0.48,0.18,1.28,0.47,1.99
600724.SH,-0.09,0.4,-0.04,0.98,0.4,1.92
600725.SH,-0.03,0.42,0.14,1.1,0.42,1.98
600726.SH,-0.18,0.4,-0.28,0.97,0.4,1.88
600727.SH,-0.03,0.44,0.15,1.16,0.44,1.99
600728.SH,-0.09,0.44,0,1.15,0.44,1.96
600730.SH,-0.12,0.46,-0.04,1.22,0.46,1.97
600731.SH,-0.04,0.39,0.09,0.99,0.39,1.96
600732.SH,0.06,0.48,0.35,1.21,0.44,2.01
600733.SH,-0.05,0.48,0.13,1.3,0.48,1.98
600736.SH,-0.08,0.37,-0.04,0.86,0.37,1.88
600737.SH,-0.07,0.39,0,0.94,0.39,1.91
600738.SH,-0.07,0.43,0.04,1.11,0.42,1.97
600740.SH,-0.01,0.45,0.21,1.22,0.45,1.99
600741.SH,0.04,0.34,0.3,0.86,0.34,1.97
600742.SH,0.02,0.37,0.23,0.95,0.37,1.97
600743.SH,-0.17,0.4,-0.27,0.94,0.39,1.88
600744.SH,-0.13,0.47,-0.08,1.24,0.47,1.97
600746.SH,-0.04,0.48,0.15,1.3,0.48,1.98
600748.SH,-0.13,0.41,-0.14,1.01,0.41,1.92
600749.SH,-0.09,0.44,0,1.16,0.44,1.97
600750.SH,0.04,0.35,0.3,0.85,0.35,1.94
600751.SH,-0.15,0.45,-0.15,1.17,0.45,1.96
600753.SH,-0.1,0.54,0.08,1.31,0.48,1.98
600755.SH,0,0.34,0.18,0.8,0.34,1.91
600756.SH,-0.07,0.49,0.09,1.34,0.49,1.98
600757.SH,0.01,0.35,0.2,0.84,0.35,1.94
600758.SH,-0.14,0.47,-0.1,1.24,0.46,1.97
600759.SH,-0.16,0.42,-0.19,1.08,0.42,1.93
600760.SH,0.19,0.47,0.6,1.17,0.42,2.05
600761.SH,0.08,0.37,0.4,0.97,0.37,2.01
600764.SH,0.02,0.44,0.26,1.19,0.44,1.99
600765.SH,0.02,0.47,0.27,1.21,0.45,2
600768.SH,-0.1,0.41,-0.04,1.04,0.41,1.94
600769.SH,-0.03,0.49,0.19,1.27,0.47,1.99
600770.SH,-0.14,0.45,-0.11,1.19,0.45,1.97
600771.SH,-0.04,0.46,0.14,1.23,0.46,1.99
600773.SH,-0.07,0.52,0.11,1.3,0.48,1.98
600774.SH,-0.06,0.48,0.11,1.3,0.48,1.98
600775.SH,-0.08,0.5,0.08,1.29,0.47,1.98
600776.SH,-0.02,0.5,0.21,1.27,0.47,1.99
600779.SH,0.18,0.45,0.59,1.17,0.42,2.04
600780.SH,-0.05,0.36,0.05,0.86,0.36,1.9
600782.SH,0.05,0.44,0.33,1.18,0.44,2
600783.SH,-0.08,0.47,0.06,1.26,0.47,1.98
600784.SH,-0.08,0.39,-0.02,0.95,0.39,1.92
600785.SH,-0.12,0.42,-0.1,1.06,0.42,1.93
600787.SH,-0.1,0.38,-0.09,0.88,0.37,1.87
600789.SH,-0.03,0.44,0.15,1.18,0.44,1.98
600790.SH,-0.06,0.31,-0.03,0.62,0.3,1.74
600791.SH,-0.09,0.49,0.04,1.32,0.48,1.98
600792.SH,-0.07,0.46,0.07,1.25,0.46,1.98
600794.SH,-0.09,0.38,-0.06,0.92,0.38,1.9
600795.SH,0.02,0.28,0.22,0.58,0.28,1.79
600796.SH,-0.09,0.4,-0.05,0.99,0.4,1.93
600797.SH,-0.1,0.45,0.01,1.21,0.45,1.97
600800.SH,-0.16,0.44,-0.16,1.15,0.44,1.95
600801.SH,0.1,0.43,0.43,1.16,0.42,2.03
600802.SH,-0.1,0.42,-0.02,1.09,0.42,1.96
600803.SH,0.06,0.41,0.35,1.08,0.41,2
600804.SH,-0.28,0.49,-0.44,1.34,0.49,1.98
600805.SH,-0.13,0.38,-0.18,0.9,0.38,1.87
600807.SH,-0.17,0.49,-0.14,1.33,0.49,1.98
600808.SH,-0.04,0.37,0.06,0.89,0.37,1.92
600809.SH,0.37,0.43,0.94,1.12,0.39,2.15
600810.SH,0.01,0.45,0.25,1.23,0.45,2
600812.SH,-0.07,0.45,0.07,1.18,0.44,1.98
600814.SH,-0.06,0.42,0.06,1.1,0.42,1.97
600815.SH,-0.18,0.41,-0.28,1.02,0.41,1.91
600816.SH,-0.09,0.44,0,1.17,0.44,1.98
600817.SH,-0.02,0.37,0.12,0.92,0.37,1.94
600818.SH,-0.14,0.54,-0.02,1.35,0.49,1.98
600819.SH,-0.05,0.43,0.09,1.11,0.42,1.97
600820.SH,-0.05,0.29,-0.04,0.58,0.29,1.73
600821.SH,-0.07,0.46,0.08,1.24,0.46,1.98
600822.SH,-0.05,0.47,0.13,1.28,0.47,1.98
600824.SH,-0.11,0.36,-0.15,0.8,0.36,1.84
600825.SH,-0.11,0.45,-0.03,1.18,0.45,1.97
600826.SH,-0.11,0.38,-0.13,0.91,0.38,1.9
600827.SH,-0.09,0.42,-0.01,1.07,0.42,1.95
600829.SH,-0.09,0.41,-0.02,1.04,0.41,1.94
600830.SH,-0.01,0.46,0.2,1.25,0.46,1.99
600831.SH,-0.2,0.47,-0.25,1.26,0.47,1.97
600833.SH,-0.06,0.43,0.07,1.12,0.43,1.97
600834.SH,-0.1,0.4,-0.05,0.99,0.4,1.92
600835.SH,-0.07,0.35,-0.03,0.81,0.35,1.87
600837.SH,0,0.31,0.16,0.72,0.31,1.9
600838.SH,-0.09,0.43,0,1.14,0.43,1.97
600841.SH,-0.12,0.47,-0.04,1.27,0.47,1.98
600843.SH,-0.08,0.43,0.01,1.1,0.43,1.96
600844.SH,-0.14,0.49,-0.06,1.34,0.49,1.98
600845.SH,0.14,0.44,0.52,1.16,0.42,2.04
600846.SH,-0.01,0.42,0.18,1.09,0.42,1.98
600848.SH,-0.04,0.41,0.1,1.08,0.41,1.97
600851.SH,-0.08,0.39,-0.03,0.95,0.39,1.92
600854.SH,-0.06,0.41,0.06,1.05,0.41,1.96
600855.SH,-0.12,0.48,-0.02,1.3,0.48,1.98
600857.SH,-0.11,0.4,-0.08,1.02,0.4,1.94
600858.SH,-0.1,0.37,-0.09,0.88,0.37,1.88
600859.SH,-0.02,0.42,0.15,1.11,0.42,1.98
600861.SH,0.01,0.43,0.24,1.15,0.43,2
600862.SH,0,0.46,0.23,1.25,0.46,1.99
600863.SH,0,0.34,0.17,0.8,0.34,1.9
600864.SH,-0.1,0.44,-0.03,1.15,0.44,1.97
600865.SH,-0.07,0.41,0.04,1.07,0.41,1.97
600867.SH,-0.05,0.36,0.03,0.86,0.36,1.9
600868.SH,-0.16,0.39,-0.25,0.92,0.39,1.87
600869.SH,-0.08,0.43,0.01,1.12,0.43,1.97
600871.SH,-0.17,0.35,-0.34,0.75,0.35,1.77
600874.SH,-0.06,0.38,0.02,0.93,0.38,1.91
600875.SH,0,0.4,0.19,1.02,0.4,1.98
600876.SH,-0.15,0.49,-0.07,1.35,0.49,1.98
600877.SH,0.02,0.44,0.27,1.18,0.44,1.99
600880.SH,-0.12,0.45,-0.06,1.17,0.45,1.96
600881.SH,-0.19,0.37,-0.37,0.81,0.37,1.8
600883.SH,-0.09,0.44,0,1.16,0.44,1.97
600884.SH,-0.01,0.49,0.22,1.26,0.46,1.99
600885.SH,0.09,0.39,0.4,1.06,0.39,2.02
600887.SH,0.08,0.32,0.4,0.77,0.32,1.96
600888.SH,0.02,0.42,0.24,1.1,0.42,1.99
600889.SH,-0.09,0.49,0.05,1.31,0.48,1.98
600892.SH,-0.11,0.51,0.03,1.35,0.49,1.98
600893.SH,-0.02,0.41,0.15,1.08,0.41,1.97
600894.SH,-0.02,0.34,0.11,0.79,0.34,1.89
600895.SH,0.01,0.45,0.25,1.23,0.45,1.99
600897.SH,-0.01,0.27,0.11,0.55,0.27,1.74
600898.SH,-0.24,0.47,-0.34,1.25,0.47,1.96
600917.SH,-0.08,0.38,-0.02,0.92,0.38,1.92
600958.SH,-0.06,0.38,0.02,0.94,0.38,1.93
600959.SH,-0.18,0.31,-0.5,0.54,0.31,1.56
600960.SH,-0.15,0.43,-0.15,1.11,0.43,1.94
600961.SH,-0.06,0.45,0.08,1.2,0.45,1.97
600962.SH,-0.02,0.46,0.2,1.26,0.46,1.99
600963.SH,-0.03,0.45,0.15,1.2,0.45,1.98
600965.SH,-0.12,0.4,-0.11,0.97,0.4,1.91
600966.SH,-0.01,0.41,0.19,1.09,0.41,1.99
600969.SH,-0.08,0.36,-0.05,0.84,0.36,1.87
600971.SH,0.12,0.42,0.48,1.15,0.42,2.03
600973.SH,-0.05,0.39,0.06,0.98,0.39,1.94
600975.SH,-0.02,0.48,0.2,1.31,0.48,1.98
600976.SH,0.05,0.44,0.33,1.2,0.44,2.01
600980.SH,-0.05,0.46,0.11,1.23,0.46,1.98
600981.SH,-0.17,0.43,-0.23,1.07,0.43,1.92
600982.SH,-0.05,0.36,0.04,0.85,0.36,1.9
600984.SH,-0.08,0.45,0.04,1.18,0.45,1.97
600985.SH,0.07,0.42,0.37,1.13,0.42,2
600986.SH,-0.11,0.48,-0.01,1.31,0.48,1.98
600987.SH,0.01,0.34,0.2,0.8,0.34,1.91
600988.SH,0.12,0.46,0.47,1.25,0.46,2
600990.SH,-0.05,0.42,0.08,1.08,0.42,1.96
600992.SH,0.01,0.5,0.27,1.24,0.46,2
600993.SH,0.02,0.38,0.24,0.98,0.38,1.98
600995.SH,-0.01,0.39,0.17,0.99,0.39,1.96
600997.SH,0.04,0.41,0.29,1.1,0.41,2.01
600998.SH,-0.03,0.33,0.06,0.74,0.33,1.86
600999.SH,0.05,0.33,0.3,0.83,0.33,1.99
601000.SH,0.06,0.32,0.33,0.78,0.32,1.94
601001.SH,0.11,0.45,0.45,1.17,0.43,2.03
601002.SH,-0.12,0.4,-0.13,0.98,0.4,1.92
601006.SH,0.01,0.2,0.17,0.32,0.2,1.52
601007.SH,-0.08,0.41,0,1.03,0.41,1.95
601008.SH,-0.08,0.4,-0.02,1.01,0.4,1.93
601009.SH,0.11,0.27,0.53,0.63,0.27,1.96
601010.SH,-0.14,0.32,-0.31,0.65,0.32,1.72
601011.SH,-0.12,0.46,-0.05,1.25,0.46,1.97
601012.SH,0.19,0.47,0.6,1.14,0.41,2.07
601015.SH,-0.06,0.5,0.13,1.32,0.48,1.98
601016.SH,-0.15,0.4,-0.21,0.98,0.4,1.9
601021.SH,0,0.36,0.17,0.87,0.35,1.94
601028.SH,0.03,0.43,0.28,1.15,0.43,2
601038.SH,0.02,0.5,0.29,1.26,0.46,1.99
601058.SH,0.18,0.41,0.6,1.12,0.4,2.07
601069.SH,-0.03,0.43,0.13,1.12,0.43,1.96
601088.SH,0.19,0.31,0.7,0.82,0.31,2.1
601098.SH,-0.01,0.3,0.12,0.65,0.3,1.81
601099.SH,-0.02,0.39,0.14,1.01,0.39,1.97
601100.SH,0.25,0.44,0.74,1.12,0.39,2.11
601101.SH,0.06,0.44,0.35,1.19,0.44,2.01
601106.SH,-0.14,0.36,-0.25,0.79,0.36,1.8
601107.SH,0.03,0.32,0.25,0.77,0.32,1.93
601111.SH,-0.04,0.38,0.07,0.92,0.38,1.92
601113.SH,-0.1,0.39,-0.09,0.94,0.39,1.92
601116.SH,-0.02,0.49,0.2,1.25,0.46,1.99
601117.SH,0.02,0.36,0.24,0.91,0.36,1.96
601118.SH,-0.07,0.37,0,0.9,0.37,1.92
601126.SH,0.06,0.46,0.35,1.19,0.44,2.01
601137.SH,0.07,0.46,0.37,1.21,0.44,2.01
601139.SH,-0.01,0.32,0.13,0.73,0.32,1.87
601158.SH,-0.04,0.25,-0.06,0.44,0.25,1.58
601166.SH,0.08,0.25,0.44,0.54,0.25,1.87
601168.SH,0.12,0.41,0.48,1.11,0.41,2.02
601169.SH,0.05,0.19,0.38,0.33,0.19,1.61
601177.SH,-0.03,0.38,0.12,0.95,0.38,1.94
601179.SH,0,0.37,0.19,0.92,0.37,1.96
601186.SH,-0.04,0.33,0.04,0.73,0.33,1.84
601188.SH,-0.04,0.36,0.08,0.85,0.36,1.89
601198.SH,-0.07,0.38,-0.02,0.92,0.38,1.92
601199.SH,-0.03,0.37,0.11,0.91,0.37,1.93
601208.SH,0.01,0.43,0.24,1.16,0.43,2
601211.SH,0.01,0.29,0.17,0.64,0.29,1.85
601216.SH,-0.03,0.42,0.14,1.07,0.42,1.95
601218.SH,-0.09,0.42,-0.01,1.09,0.42,1.96
601222.SH,-0.02,0.44,0.16,1.17,0.44,1.99
601225.SH,0.22,0.39,0.71,1.09,0.39,2.09
601226.SH,-0.11,0.39,-0.11,0.94,0.39,1.9
601233.SH,0.02,0.44,0.27,1.18,0.44,1.99
601238.SH,-0.04,0.37,0.06,0.89,0.37,1.91
601288.SH,0.11,0.18,0.66,0.35,0.18,1.82
601311.SH,-0.05,0.41,0.08,1.05,0.41,1.96
601318.SH,0.11,0.28,0.51,0.66,0.28,1.95
601328.SH,0.08,0.19,0.5,0.36,0.19,1.73
601333.SH,-0.04,0.3,0.03,0.63,0.3,1.77
601336.SH,0.05,0.37,0.31,0.96,0.37,2
601339.SH,0,0.35,0.16,0.81,0.35,1.89
601360.SH,-0.06,0.48,0.11,1.3,0.48,1.98
601368.SH,-0.14,0.32,-0.32,0.62,0.32,1.68
601369.SH,0.01,0.39,0.23,1.01,0.39,1.99
601377.SH,-0.02,0.36,0.12,0.9,0.36,1.95
601390.SH,-0.06,0.31,-0.03,0.65,0.31,1.76
601398.SH,0.09,0.19,0.57,0.39,0.19,1.84
601515.SH,-0.11,0.39,-0.11,0.97,0.39,1.91
601518.SH,-0.05,0.32,0,0.69,0.32,1.81
601519.SH,-0.06,0.49,0.11,1.3,0.48,1.98
601555.SH,-0.05,0.38,0.04,0.93,0.38,1.93
601566.SH,-0.06,0.38,0.03,0.92,0.38,1.91
601567.SH,0.14,0.43,0.52,1.16,0.42,2.03
601579.SH,-0.03,0.4,0.13,1.01,0.4,1.96
601588.SH,-0.13,0.34,-0.22,0.74,0.34,1.78
601599.SH,-0.08,0.47,0.05,1.27,0.47,1.98
601600.SH,0.03,0.41,0.27,1.07,0.41,1.98
601601.SH,0.09,0.34,0.43,0.86,0.34,2
601607.SH,0.02,0.3,0.21,0.67,0.3,1.86
601608.SH,-0.09,0.4,-0.03,1.01,0.4,1.93
601616.SH,-0.08,0.36,-0.05,0.85,0.36,1.88
601628.SH,0.08,0.35,0.39,0.9,0.35,2.01
601633.SH,0.14,0.45,0.51,1.17,0.43,2.03
601636.SH,0.1,0.47,0.45,1.18,0.43,2.03
601666.SH,0.08,0.45,0.41,1.19,0.44,2.02
601668.SH,0.07,0.29,0.36,0.69,0.29,1.94
601669.SH,-0.05,0.35,0.03,0.82,0.35,1.88
601677.SH,0.05,0.42,0.33,1.11,0.42,2
601678.SH,-0.02,0.41,0.15,1.05,0.41,1.96
601688.SH,0.02,0.35,0.23,0.86,0.35,1.96
601689.SH,0.18,0.51,0.59,1.17,0.42,2.06
601699.SH,0.14,0.45,0.51,1.16,0.42,2.04
601700.SH,-0.07,0.47,0.08,1.26,0.47,1.98
601717.SH,0.06,0.41,0.35,1.09,0.41,2
601718.SH,-0.21,0.36,-0.46,0.77,0.36,1.75
601727.SH,-0.12,0.32,-0.22,0.64,0.32,1.71
601766.SH,-0.03,0.29,0.02,0.59,0.29,1.76
601777.SH,-0.12,0.49,-0.02,1.32,0.48,1.98
601788.SH,-0.01,0.39,0.17,1.02,0.39,1.98
601789.SH,-0.03,0.45,0.15,1.2,0.45,1.98
601798.SH,-0.09,0.46,0.03,1.24,0.46,1.98
601799.SH,0.21,0.43,0.66,1.13,0.4,2.07
601800.SH,-0.02,0.38,0.14,0.96,0.38,1.95
601801.SH,-0.07,0.39,0,0.96,0.39,1.94
601808.SH,-0.02,0.39,0.14,0.98,0.39,1.96
601818.SH,0.03,0.22,0.25,0.43,0.22,1.72
601857.SH,0.01,0.26,0.16,0.49,0.26,1.69
601872.SH,0.01,0.42,0.23,1.11,0.42,1.99
601880.SH,-0.08,0.31,-0.12,0.62,0.31,1.74
601886.SH,-0.07,0.4,0.03,1.02,0.4,1.95
601888.SH,0.11,0.43,0.45,1.13,0.41,2.05
601890.SH,-0.08,0.46,0.06,1.25,0.46,1.98
601898.SH,0.07,0.37,0.38,0.98,0.37,2.01
601899.SH,0.2,0.38,0.67,1.03,0.38,2.05
601901.SH,-0.01,0.38,0.17,0.98,0.38,1.98
601908.SH,-0.15,0.48,-0.09,1.29,0.48,1.98
601918.SH,-0.06,0.42,0.06,1.1,0.42,1.97
601928.SH,0.01,0.34,0.2,0.84,0.34,1.94
601929.SH,-0.16,0.38,-0.26,0.87,0.38,1.85
601933.SH,-0.08,0.36,-0.05,0.82,0.36,1.84
601939.SH,0.1,0.21,0.56,0.45,0.21,1.87
601958.SH,0.04,0.38,0.3,0.99,0.38,1.98
601965.SH,0.07,0.41,0.36,1.1,0.41,2.02
601968.SH,-0.12,0.41,-0.1,1.02,0.41,1.92
601969.SH,-0.09,0.48,0.03,1.3,0.48,1.98
601985.SH,0.02,0.28,0.21,0.58,0.28,1.77
601988.SH,0.08,0.17,0.52,0.33,0.17,1.71
601989.SH,-0.11,0.32,-0.22,0.65,0.32,1.73
601991.SH,-0.08,0.32,-0.09,0.7,0.32,1.79
601992.SH,-0.1,0.33,-0.14,0.72,0.33,1.79
601996.SH,-0.09,0.36,-0.07,0.85,0.36,1.87
601998.SH,0.04,0.26,0.28,0.55,0.26,1.83
601999.SH,-0.08,0.45,0.05,1.21,0.45,1.98
603000.SH,0,0.5,0.24,1.26,0.46,1.99
603001.SH,-0.15,0.35,-0.29,0.74,0.35,1.77
603002.SH,-0.03,0.45,0.16,1.21,0.45,1.99
603003.SH,-0.15,0.48,-0.09,1.3,0.48,1.98
603005.SH,0.04,0.53,0.35,1.24,0.45,2
603006.SH,-0.04,0.5,0.16,1.29,0.48,1.98
603009.SH,0.1,0.54,0.44,1.22,0.44,2.02
603010.SH,0.02,0.43,0.25,1.15,0.43,2
603012.SH,-0.1,0.36,-0.11,0.81,0.36,1.81
603015.SH,-0.06,0.46,0.11,1.25,0.46,1.98
603018.SH,-0.03,0.38,0.1,0.94,0.38,1.95
603019.SH,0.13,0.51,0.49,1.21,0.44,2.03
603020.SH,-0.11,0.41,-0.09,1.03,0.41,1.93
603021.SH,-0.16,0.47,-0.14,1.25,0.47,1.97
603022.SH,-0.11,0.48,-0.02,1.29,0.48,1.98
603023.SH,-0.12,0.51,0,1.35,0.49,1.98
603025.SH,0.01,0.51,0.27,1.25,0.46,1.99
603026.SH,0.04,0.57,0.35,1.25,0.46,2
603030.SH,-0.15,0.45,-0.13,1.18,0.45,1.96
603066.SH,-0.02,0.49,0.2,1.29,0.47,1.99
603077.SH,-0.07,0.37,0,0.88,0.37,1.89
603085.SH,-0.07,0.53,0.13,1.32,0.48,1.98
603088.SH,0,0.47,0.24,1.25,0.46,1.99
603099.SH,0.04,0.48,0.31,1.18,0.43,2.01
603100.SH,0.06,0.42,0.34,1.14,0.42,2.01
603108.SH,0.06,0.48,0.36,1.21,0.44,2.01
603116.SH,-0.16,0.36,-0.29,0.8,0.36,1.82
603117.SH,-0.15,0.4,-0.21,0.96,0.4,1.89
603118.SH,-0.08,0.47,0.07,1.29,0.47,1.98
603123.SH,-0.03,0.46,0.17,1.22,0.45,1.99
603126.SH,-0.11,0.48,-0.01,1.3,0.48,1.98
603158.SH,-0.06,0.43,0.07,1.15,0.43,1.98
603166.SH,-0.17,0.45,-0.19,1.18,0.45,1.95
603167.SH,-0.02,0.36,0.12,0.88,0.36,1.93
603168.SH,-0.14,0.46,-0.09,1.22,0.46,1.97
603169.SH,-0.14,0.5,-0.06,1.35,0.49,1.98
603188.SH,-0.22,0.38,-0.44,0.87,0.38,1.82
603198.SH,0.09,0.45,0.42,1.19,0.44,2.02
603199.SH,-0.05,0.38,0.05,0.95,0.38,1.94
603222.SH,-0.07,0.48,0.08,1.29,0.48,1.98
603223.SH,0,0.44,0.21,1.15,0.43,1.98
603227.SH,-0.05,0.45,0.12,1.2,0.45,1.98
603268.SH,-0.05,0.45,0.11,1.22,0.45,1.98
603288.SH,0.13,0.34,0.54,0.88,0.34,2.03
603300.SH,0,0.47,0.24,1.27,0.47,1.99
603306.SH,0.03,0.44,0.3,1.18,0.44,2.01
603308.SH,-0.04,0.47,0.16,1.27,0.47,1.98
603309.SH,-0.08,0.43,0.01,1.11,0.43,1.96
603311.SH,-0.11,0.46,-0.03,1.23,0.46,1.97
603315.SH,-0.09,0.45,0.03,1.2,0.45,1.97
603318.SH,-0.08,0.48,0.07,1.31,0.48,1.98
603328.SH,0.01,0.4,0.21,1.04,0.4,1.99
603333.SH,-0.09,0.45,0.02,1.22,0.45,1.98
