,returns,portfolio_value,return_0,cum_return,close,instrument,date
2016-9-12,-0.023021166,2629612.055,-0.023021166,1.629612055,2629612.055,fanyifan_strategy,2016-9-12
2016-9-13,0.004720907,2642026.21,0.004720907,1.64202621,2642026.21,fanyifan_strategy,2016-9-13
2016-9-14,-0.000154724,2641617.425,-0.000154724,1.641617425,2641617.425,fanyifan_strategy,2016-9-14
2016-9-19,-0.006605296,2624168.76,-0.006605296,1.62416876,2624168.76,fanyifan_strategy,2016-9-19
2016-9-20,-0.001229818,2620941.51,-0.001229818,1.62094151,2620941.51,fanyifan_strategy,2016-9-20
2016-9-21,-0.016557315,2577545.755,-0.016557315,1.577545755,2577545.755,fanyifan_strategy,2016-9-21
2016-9-22,-0.004290403,2566487.045,-0.004290403,1.566487045,2566487.045,fanyifan_strategy,2016-9-22
2016-9-23,0.012658412,2598974.695,0.012658412,1.598974695,2598974.695,fanyifan_strategy,2016-9-23
2016-9-26,0.007955412,2619650.61,0.007955412,1.61965061,2619650.61,fanyifan_strategy,2016-9-26
2016-9-27,-0.007892623,2598974.695,-0.007892623,1.598974695,2598974.695,fanyifan_strategy,2016-9-27
2016-9-28,0.000711931,2600824.985,0.000711931,1.600824985,2600824.985,fanyifan_strategy,2016-9-28
2016-9-29,0.002150818,2606418.885,0.002150818,1.606418885,2606418.885,fanyifan_strategy,2016-9-29
2016-9-30,0.008873718,2629547.51,0.008873718,1.62954751,2629547.51,fanyifan_strategy,2016-9-30
2016-10-10,0.012641215,2662788.185,0.012641215,1.662788185,2662788.185,fanyifan_strategy,2016-10-10
2016-10-11,0.036731119,2760595.375,0.036731119,1.760595375,2760595.375,fanyifan_strategy,2016-10-11
2016-10-12,-0.005198337,2746244.87,-0.005198337,1.74624487,2746244.87,fanyifan_strategy,2016-10-12
2016-10-13,-0.000806936,2744028.825,-0.000806936,1.744028825,2744028.825,fanyifan_strategy,2016-10-13
2016-10-14,0.005778567,2759885.38,0.005778567,1.75988538,2759885.38,fanyifan_strategy,2016-10-14
2016-10-17,-0.00318061,2751107.26,-0.00318061,1.75110726,2751107.26,fanyifan_strategy,2016-10-17
2016-10-18,-0.000516152,2749687.27,-0.000516152,1.74968727,2749687.27,fanyifan_strategy,2016-10-18
2016-10-19,-0.011705491,2717500.83,-0.011705491,1.71750083,2717500.83,fanyifan_strategy,2016-10-19
2016-10-20,0.001654695,2721997.465,0.001654695,1.721997465,2721997.465,fanyifan_strategy,2016-10-20
2016-10-21,0.004955884,2735487.37,0.004955884,1.73548737,2735487.37,fanyifan_strategy,2016-10-21
2016-10-24,0.030351588,2818513.755,0.030351588,1.818513755,2818513.755,fanyifan_strategy,2016-10-24
2016-10-25,0.018961504,2871957.015,0.018961504,1.871957015,2871957.015,fanyifan_strategy,2016-10-25
2016-10-26,0.011117249,2903885.275,0.011117249,1.903885275,2903885.275,fanyifan_strategy,2016-10-26
2016-10-27,0.016107251,2950658.885,0.016107251,1.950658885,2950658.885,fanyifan_strategy,2016-10-27
2016-10-28,0.007364508,2972389.035,0.007364508,1.972389035,2972389.035,fanyifan_strategy,2016-10-28
2016-10-31,0.01633681,3020948.39,0.01633681,2.02094839,3020948.39,fanyifan_strategy,2016-10-31
2016-11-1,0.043963709,3153760.485,0.043963709,2.153760485,3153760.485,fanyifan_strategy,2016-11-1
2016-11-2,0.006235321,3173425.195,0.006235321,2.173425195,3173425.195,fanyifan_strategy,2016-11-2
2016-11-3,-0.077695829,2926863.295,-0.077695829,1.926863295,2926863.295,fanyifan_strategy,2016-11-3
2016-11-4,0.042370431,3050875.755,0.042370431,2.050875755,3050875.755,fanyifan_strategy,2016-11-4
2016-11-7,0,3050875.755,0,2.050875755,3050875.755,fanyifan_strategy,2016-11-7
2016-11-8,-0.005197378,3035019.2,-0.005197378,2.0350192,3035019.2,fanyifan_strategy,2016-11-8
2016-11-9,0.010059174,3065548.985,0.010059174,2.065548985,3065548.985,fanyifan_strategy,2016-11-9
2016-11-10,0.01540521,3112774.41,0.01540521,2.11277441,3112774.41,fanyifan_strategy,2016-11-10
2016-11-11,-0.011784688,3076091.335,-0.011784688,2.076091335,3076091.335,fanyifan_strategy,2016-11-11
2016-11-14,-0.015723109,3027725.615,-0.015723109,2.027725615,3027725.615,fanyifan_strategy,2016-11-14
2016-11-15,0.005414767,3044120.045,0.005414767,2.044120045,3044120.045,fanyifan_strategy,2016-11-15
2016-11-16,0.005866211,3061977.495,0.005866211,2.061977495,3061977.495,fanyifan_strategy,2016-11-16
2016-11-17,0.045468513,3201201.06,0.045468513,2.20120106,3201201.06,fanyifan_strategy,2016-11-17
2016-11-18,-0.005040686,3185064.81,-0.005040686,2.18506481,3185064.81,fanyifan_strategy,2016-11-18
2016-11-21,-0.014205691,3139818.765,-0.014205691,2.139818765,3139818.765,fanyifan_strategy,2016-11-21
2016-11-22,0.012772699,3179922.725,0.012772699,2.179922725,3179922.725,fanyifan_strategy,2016-11-22
2016-11-23,0.015189418,3228223.9,0.015189418,2.2282239,3228223.9,fanyifan_strategy,2016-11-23
2016-11-24,-0.011169963,3192164.76,-0.011169963,2.19216476,3192164.76,fanyifan_strategy,2016-11-24
2016-11-25,-0.00563459,3174178.22,-0.00563459,2.17417822,3174178.22,fanyifan_strategy,2016-11-25
2016-11-28,-0.017236791,3119465.575,-0.017236791,2.119465575,3119465.575,fanyifan_strategy,2016-11-28
2016-11-29,0.009062677,3147736.285,0.009062677,2.147736285,3147736.285,fanyifan_strategy,2016-11-29
2016-11-30,-0.000745023,3145391.15,-0.000745023,2.14539115,3145391.15,fanyifan_strategy,2016-11-30
2016-12-1,0.010848504,3179513.94,0.010848504,2.17951394,3179513.94,fanyifan_strategy,2016-12-1
2016-12-2,0.022323533,3250491.925,0.022323533,2.250491925,3250491.925,fanyifan_strategy,2016-12-2
2016-12-5,0.01684535,3305247.6,0.01684535,2.3052476,3305247.6,fanyifan_strategy,2016-12-5
2016-12-6,-0.022802239,3229880.555,-0.022802239,2.229880555,3229880.555,fanyifan_strategy,2016-12-6
2016-12-7,0.008473094,3257247.635,0.008473094,2.257247635,3257247.635,fanyifan_strategy,2016-12-7
2016-12-8,0.010634485,3291886.785,0.010634485,2.291886785,3291886.785,fanyifan_strategy,2016-12-8
2016-12-9,-1.31E-05,3291843.755,-1.31E-05,2.291843755,3291843.755,fanyifan_strategy,2016-12-9
2016-12-12,0.006810357,3314262.385,0.006810357,2.314262385,3314262.385,fanyifan_strategy,2016-12-12
2016-12-13,0.010100993,3347739.725,0.010100993,2.347739725,3347739.725,fanyifan_strategy,2016-12-13
2016-12-14,-0.003856035,3334830.725,-0.003856035,2.334830725,3334830.725,fanyifan_strategy,2016-12-14
2016-12-15,-0.00064516,3332679.225,-0.00064516,2.332679225,3332679.225,fanyifan_strategy,2016-12-15
2016-12-16,0.004234983,3346793.065,0.004234983,2.346793065,3346793.065,fanyifan_strategy,2016-12-16
2016-12-19,0.015974927,3400257.84,0.015974927,2.40025784,3400257.84,fanyifan_strategy,2016-12-19
2016-12-20,0.000487215,3401914.495,0.000487215,2.401914495,3401914.495,fanyifan_strategy,2016-12-20
2016-12-21,0.010896907,3438984.84,0.010896907,2.43898484,3438984.84,fanyifan_strategy,2016-12-21
2016-12-22,0.037806257,3568999.985,0.037806257,2.568999985,3568999.985,fanyifan_strategy,2016-12-22
2016-12-23,0.035856324,3696971.205,0.035856324,2.696971205,3696971.205,fanyifan_strategy,2016-12-23
2016-12-26,0.045503677,3865196.99,0.045503677,2.86519699,3865196.99,fanyifan_strategy,2016-12-26
2016-12-27,0.010431321,3905516.1,0.010431321,2.9055161,3905516.1,fanyifan_strategy,2016-12-27
2016-12-28,0.031791718,4029679.165,0.031791718,3.029679165,4029679.165,fanyifan_strategy,2016-12-28
2016-12-29,0.047908056,4222733.26,0.047908056,3.22273326,4222733.26,fanyifan_strategy,2016-12-29
2016-12-30,-0.009522632,4182521.725,-0.009522632,3.182521725,4182521.725,fanyifan_strategy,2016-12-30
2017-1-3,0.04882195,4386720.59,0.04882195,3.38672059,4386720.59,fanyifan_strategy,2017-1-3
2017-1-4,0.018686431,4468692.74,0.018686431,3.46869274,4468692.74,fanyifan_strategy,2017-1-4
2017-1-5,0.096436581,4899638.19,0.096436581,3.89963819,4899638.19,fanyifan_strategy,2017-1-5
2017-1-6,-0.118472972,4319163.49,-0.118472972,3.31916349,4319163.49,fanyifan_strategy,2017-1-6
2017-1-9,-0.087471428,3941360.09,-0.087471428,2.94136009,3941360.09,fanyifan_strategy,2017-1-9
2017-1-10,-0.01413277,3885657.755,-0.01413277,2.885657755,3885657.755,fanyifan_strategy,2017-1-10
2017-1-11,0.003737495,3900180.38,0.003737495,2.90018038,3900180.38,fanyifan_strategy,2017-1-11
2017-1-12,-0.141622833,3347825.785,-0.141622833,2.347825785,3347825.785,fanyifan_strategy,2017-1-12
2017-1-13,0.034356385,3462844.975,0.034356385,2.462844975,3462844.975,fanyifan_strategy,2017-1-13
2017-1-16,0.02028577,3533091.45,0.02028577,2.53309145,3533091.45,fanyifan_strategy,2017-1-16
2017-1-17,0.010936864,3571732.39,0.010936864,2.57173239,3571732.39,fanyifan_strategy,2017-1-17
2017-1-18,0.089060221,3889831.665,0.089060221,2.889831665,3889831.665,fanyifan_strategy,2017-1-18
2017-1-19,-0.017256994,3822704.865,-0.017256994,2.822704865,3822704.865,fanyifan_strategy,2017-1-19
2017-1-20,0.01512301,3880515.67,0.01512301,2.88051567,3880515.67,fanyifan_strategy,2017-1-20
2017-1-23,0.024289868,3974772.885,0.024289868,2.974772885,3974772.885,fanyifan_strategy,2017-1-23
2017-1-24,-0.019096668,3898867.965,-0.019096668,2.898867965,3898867.965,fanyifan_strategy,2017-1-24
2017-1-25,-0.021664722,3814400.075,-0.021664722,2.814400075,3814400.075,fanyifan_strategy,2017-1-25
2017-1-26,0.008161757,3845532.28,0.008161757,2.84553228,3845532.28,fanyifan_strategy,2017-1-26
2017-2-3,0.126912538,4333578.54,0.126912538,3.33357854,4333578.54,fanyifan_strategy,2017-2-3
2017-2-6,-9.93E-05,4333148.24,-9.93E-05,3.33314824,4333148.24,fanyifan_strategy,2017-2-6
2017-2-7,0.015292853,4399414.44,0.015292853,3.39941444,4399414.44,fanyifan_strategy,2017-2-7
2017-2-8,0.029244733,4528074.14,0.029244733,3.52807414,4528074.14,fanyifan_strategy,2017-2-8
2017-2-9,-0.003183484,4513659.09,-0.003183484,3.51365909,4513659.09,fanyifan_strategy,2017-2-9
2017-2-10,-0.060984426,4238396.18,-0.060984426,3.23839618,4238396.18,fanyifan_strategy,2017-2-10
2017-2-13,0.011259039,4286116.45,0.011259039,3.28611645,4286116.45,fanyifan_strategy,2017-2-13
2017-2-14,0.000446753,4288031.285,0.000446753,3.288031285,4288031.285,fanyifan_strategy,2017-2-14
2017-2-15,0.016793419,4360041.99,0.016793419,3.36004199,4360041.99,fanyifan_strategy,2017-2-15
2017-2-16,0.000690842,4363054.09,0.000690842,3.36305409,4363054.09,fanyifan_strategy,2017-2-16
2017-2-17,0.022979293,4463313.99,0.022979293,3.46331399,4463313.99,fanyifan_strategy,2017-2-17
2017-2-20,0.018317555,4545070.99,0.018317555,3.54507099,4545070.99,fanyifan_strategy,2017-2-20
